pincode,city,state,pickup,delivery,zone
122232,Gurgaon,Haryana,Y,Y,d
122233,Gurgaon,Haryana,Y,Y,d
122234,Delhi,Delhi,Y,Y,d
122413,Pataudi,Haryana,Y,Y,d
122414,Pataudi,Haryana,Y,Y,d
122502,Bhiwadi,Haryana,Y,Y,d
122503,Pataudi,Haryana,Y,Y,d
122504,Bilaspur-Hr,Haryana,Y,Y,d
122505,Gurgaon,Haryana,Y,Y,d
122506,Pataudi,Haryana,Y,Y,d
122508,Hodal,Haryana,Y,Y,d
123001,Narnaul,Haryana,Y,Y,d
123003,Bilaspur-Hr,Haryana,Y,Y,d
123020,Narnaul,Haryana,N,N,d
123021,Narnaul,Haryana,Y,Y,d
123023,Narnaul,Haryana,Y,Y,d
123024,Loharu,Haryana,Y,Y,d
123025,Mahendargarh,Haryana,N,N,d
123026,Mahendargarh,Haryana,N,N,d
123027,Mahendragarh-HR,Haryana,Y,Y,d
123028,Narnaul,Haryana,Y,Y,d
123029,Mahendragarh-HR,Haryana,Y,Y,d
123031,Mahendragarh-Hr,Haryana,Y,Y,d
123034,Mahendragarh-HR,Haryana,Y,Y,d
123035,Rewari,Haryana,Y,Y,d
123101,Rewari,Haryana,Y,Y,d
123102,Rewari,Haryana,Y,Y,d
123103,Rewari,Haryana,Y,Y,d
123106,Bhiwadi,Rajasthan,Y,Y,d
123110,Bhiwadi,Rajasthan,Y,Y,d
123301,Rewari,Haryana,Y,Y,d
123302,Rewari,Haryana,Y,Y,d
123303,Rewari,Haryana,Y,Y,d
123304,KOSLI,Haryana,N,N,d
123305,Rewari,Haryana,Y,Y,d
123401,Rewari,Haryana,Y,Y,d
123402,Rewari,Haryana,N,Y,d
123411,Rewari,Haryana,Y,Y,d
123412,Rewari,Haryana,Y,Y,d
123413,Pataudi,Haryana,Y,Y,d
123414,Rewari,Haryana,Y,Y,d
123456,Delhi,Delhi,N,N,d
123501,Rewari,Haryana,Y,Y,d
123502,Bhiwadi,Haryana,Y,Y,d
123503,Bilaspur-Hr,Haryana,Y,Y,d
123504,Bilaspur-Hr,Haryana,Y,Y,d
123505,Gurgaon,Haryana,Y,Y,d
123506,Pataudi,Haryana,Y,Y,d
123507,Gurgaon,Haryana,Y,Y,d
123508,Bilaspur-Hr,Haryana,Y,Y,d
124001,Rohtak,Haryana,Y,Y,d
124002,Rohtak,Haryana,Y,Y,d
124003,Rohtak,Haryana,Y,Y,d
124004,Rohtak,Haryana,Y,Y,d
124005,Rohtak,Haryana,Y,Y,d
124006,Rohtak,Haryana,Y,Y,d
124007,Rohtak,Haryana,Y,Y,d
124008,Rohtak,Haryana,Y,Y,d
124009,Rohtak,Haryana,Y,Y,d
124010,Rohtak,Haryana,Y,Y,d
124021,Rohtak,Haryana,Y,Y,d
124022,Meham,Haryana,Y,Y,d
124023,Maham,Haryana,N,N,d
124024,Maham,Haryana,N,N,d
124025,Rohtak,Haryana,N,N,d
124026,Rohtak,Haryana,N,N,d
124027,Rohtak,Haryana,N,N,d
124028,Rohtak,Haryana,N,N,d
124029,Rohtak,Haryana,N,N,d
